id;State;Population_2014;Miscellaneous_Foreign_Born;Housing_Households;Housing_Households_with_a_Internet;Education_High_School_or_Higher;Education_Bachelor's_Degree_or_Higher;Income_Per_Capita_Income
1;Alabama;5024279;3.5;1867893;76.4;86.2;25.5;27928
2;Alaska;733391;7.8;253346;85.5;92.8;29.6;36787
3;Arizona;7151502;13.3;2571268;84.1;87.1;29.5;30694
4;Arkansas;3011524;4.8;1158071;73.0;86.6;23.0;26577
5;California;39538223;26.8;13044266;86.7;83.3;33.9;36955
6;Colorado;5773714;9.7;2148994;87.6;91.7;40.9;38226
7;Connecticut;3605944;14.6;1370746;85.5;90.6;39.3;44496
8;Delaware;989948;9.6;363322;85.0;90.0;32.0;35450
9;District of Columbia;689545;13.7;284386;82.6;90.9;58.5;56147
10;Florida;21538187;20.7;7736311;83.0;88.2;29.9;31619
11;Georgia;10711908;10.1;3758798;81.3;87.1;31.3;31067
12;Hawaii;1455271;18.5;459424;84.8;92.0;33.0;35567
13;Idaho;1839106;6.0;630008;82.7;90.8;27.6;27970
14;Illinois;12812508;14.1;4846134;82.7;89.2;34.7;36038
15;Indiana;6785528;5.2;2570419;80.1;88.8;26.5;29777
16;Iowa;3190369;5.3;1265473;80.8;92.1;28.6;32176
17;Kansas;2937880;7.1;1129227;81.8;91.0;33.4;31814
18;Kentucky;4505836;3.9;1734618;78.4;86.3;24.2;28178
19;Louisiana;4657757;4.2;1739497;75.5;85.2;24.1;27923
20;Maine;1362359;3.6;559921;82.1;92.6;31.8;32637
21;Maryland;6177224;15.2;2205204;86.4;90.2;40.2;42122
22;Massachusetts;7029917;16.8;2617497;86.4;90.8;43.7;43761
23;Michigan;10077331;6.9;3935041;81.5;90.8;29.1;31713
24;Minnesota;5706494;8.5;2185603;84.8;93.1;36.1;37625
25;Mississippi;2961279;2.4;1104394;71.5;84.5;22.0;24369
26;Missouri;6154913;4.2;2414521;80.2;89.9;29.2;30810
27;Montana;1084225;2.2;427871;80.7;93.6;32.0;31151
28;Nebraska;1961504;7.2;759176;83.4;91.4;31.9;32302
29;Nevada;3104614;19.4;1098602;83.2;86.7;24.7;31557
30;New Hampshire;1377529;6.1;532037;87.7;93.1;37.0;40003
31;New Jersey;9288994;22.4;3231874;85.8;89.8;39.7;42745
32;New Mexico;2117522;9.4;780249;74.6;85.6;27.3;27230
33;New York;20201249;22.6;7343234;82.8;86.8;36.6;39326
34;North Carolina;10439388;8.0;3965482;80.7;87.8;31.3;30783
35;North Dakota;779094;4.1;318322;80.7;92.6;30.0;36062
36;Ohio;11799448;4.6;4676358;82.0;90.4;28.3;31552
37;Oklahoma;3959353;6.0;1480061;78.6;88.0;25.5;28422
38;Oregon;4237256;9.9;1611982;85.9;90.7;33.7;33763
39;Pennsylvania;13002700;6.9;5053106;81.5;90.5;31.4;34352
40;Rhode Island;1097379;13.6;410489;84.0;88.8;34.2;36121
41;South Carolina;5118425;5.0;1921862;78.2;87.5;28.1;29426
42;South Dakota;886667;3.7;344397;80.7;91.7;28.8;30773
43;Tennessee;6910840;5.1;2597292;78.4;87.5;27.3;29859
44;Texas;29145505;17.0;9691647;81.9;83.7;29.9;31277
45;Utah;3271616;8.5;977313;87.5;92.3;34.0;29775
46;Vermont;643077;4.7;260029;81.5;92.7;38.0;34577
47;Virginia;8631393;12.4;3151045;83.9;89.7;38.8;39278
48;Washington;7705281;14.3;2848396;88.3;91.3;36.0;38915
49;West Virginia;1793716;1.7;732585;76.0;86.9;20.6;26480
50;Wisconsin;5893718;5.0;2358156;82.5;92.2;30.1;33375
51;Wyoming;576851;3.4;230101;83.4;93.2;27.4;33366
